Geographic Area Name;Estimate!!HOUSEHOLDS BY TYPE!!Total households;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families);Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years;"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years";Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size;Estimate!!RELATIONSHIP!!Population in households;Estimate!!RELATIONSHIP!!Population in households!!Householder;Estimate!!RELATIONSHIP!!Population in households!!Spouse;Estimate!!RELATIONSHIP!!Population in households!!Child;Estimate!!RELATIONSHIP!!Population in households!!Other relatives;Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives;Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner;Estimate!!MARITAL STATUS!!Males 15 years and over;Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married;"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated";Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated;Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed;Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced;Estimate!!MARITAL STATUS!!Females 15 years and over;Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married;"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated";Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated;Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed;Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced;Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school;"Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool";Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten;Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8);Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12);Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade;"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma";Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency);"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree";Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher;Estimate!!VETERAN STATUS!!Civilian population 18 years and over;Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability
"Butte County, California";88636;51467;19719;36075;12168;4451;2070;10941;5481;37169;24628;9972;22707;30120;2.54;3.14;225482;88636;36206;59333;14834;26473;8832;94338;39963;40136;1801;2684;9754;98168;33361;38353;1951;9163;15340;64739;3485;2314;19449;11787;27704;152912;5267;8582;34495;47571;16984;26382;13631;139063;40013;185044;12428;229374;38269;46114;2998;141141;20912;42119;14359
"El Dorado County, California";72774;49875;17182;41911;14023;2663;668;5301;2491;22899;17500;8550;18629;27127;2.60;3.13;188855;72774;41935;52539;11758;9849;3069;79113;23311;45545;1660;1783;6814;80980;18836;43546;791;5984;11823;41957;2670;2785;14786;12259;9457;138848;2409;4998;28023;37604;15942;32371;17501;131441;49872;152195;13280;189140;23550;37959;712;110960;11102;40221;11736
"Imperial County, California";41764;30792;12249;19460;7373;3020;577;8312;4299;10972;9730;2865;15616;13475;4.11;4.99;171703;41764;19359;72411;30964;7205;1373;71539;32239;29500;1683;1940;6177;67648;27152;24236;2742;6413;7105;55489;3772;1296;23072;13053;14296;111825;16135;17494;28537;26921;6976;10661;5101;78196;15762;130670;5378;172029;21820;50786;1876;97899;8684;23344;11260
"Kern County, California";273167;201894;102013;136175;65791;21362;11419;44357;24803;71273;56225;22536;115536;71083;3.17;3.69;866458;273167;135348;325555;81836;50552;23442;349679;150709;157609;8123;7856;25382;329771;108874;149187;11415;25766;34529;262649;10712;11408;121221;59387;59921;547240;68139;75245;146820;125916;42663;56830;31627;403856;88457;636301;37056;869297;102479;258576;11010;514238;55661;96483;35808
"Marin County, California";104954;67597;28384;55690;22155;3793;2348;8114;3881;37357;29428;15671;29444;41284;2.40;2.92;252051;104954;55703;66720;7260;17414;6119;105846;29488;61919;1992;2483;9964;111908;30854;55946;1105;8517;15486;59474;3883;3272;24076;13889;14354;190853;6714;5284;19388;28306;13874;64615;52672;178855;117287;207536;11279;254871;21934;51697;1722;145878;8028;57296;12184
"Merced County, California";79487;57977;28134;40394;18793;6527;2498;11056;6843;21510;16765;7595;32527;22965;3.38;3.93;268618;79487;40440;99553;29960;19178;6615;104266;44497;47072;1616;2559;8522;103276;37232;45939;3557;7143;9405;85286;3991;4673;37494;16961;22167;163014;27720;21478;44402;35644;9890;15119;8761;113816;23880;194425;8308;272072;32084;80253;3648;161268;14831;30551;13605
"San Luis Obispo County, California";106198;67284;22814;52101;14989;5859;2764;9324;5061;38914;28640;13760;25843;39546;2.52;2.98;267166;106198;51756;64070;17620;27522;7653;122617;48676;57444;2324;2966;11207;120475;38676;55709;2746;9243;14101;79808;3544;2906;21954;11587;39817;190079;8841;8101;37705;49355;20086;41426;24565;173137;65991;232781;17608;277304;33128;49562;1348;170958;14297;56784;17483
"San Mateo County, California";259654;182198;75818;145947;62305;11047;4121;25204;9392;77456;56594;26423;83562;83371;2.93;3.44;759797;259654;145751;225262;72765;56365;17140;313181;112325;170325;3714;6673;20144;323750;96011;164078;6232;25112;32317;182069;13399;9767;69720;35146;54037;555691;29876;23806;80046;94553;35184;168047;124179;502009;292226;610956;25190;766018;62208;158184;4178;485953;23058;121881;34972
"Broomfield County, Colorado";28530;18556;9120;15510;6730;733;629;2313;1761;9974;7349;2066;9600;6587;2.42;2.94;68972;28530;15274;18855;1845;4468;2467;28334;9182;15549;313;532;2758;28392;7393;16009;381;1457;3152;18300;1492;828;7138;4149;4693;49272;194;995;7286;9021;4047;17799;9930;48083;27729;53400;4669;68972;4815;15867;322;43656;2114;9449;2379
"New London County, Connecticut";108098;69117;27095;48403;16298;8987;4556;11727;6241;38981;30560;13218;29138;33660;2.35;2.88;254498;108098;48562;69480;12107;16251;8381;112100;44235;51439;952;2204;13270;112510;32233;52445;555;9310;17967;61197;4774;2679;22250;14827;16667;189510;4893;11095;58052;36670;16096;36319;26385;173522;62704;209781;21687;256016;31261;51718;1889;157844;15030;46454;14342
"Brevard County, Florida";226363;140955;40162;108673;27327;9197;3358;23085;9477;85408;72592;35729;46196;94801;2.61;3.32;589830;226363;109144;168917;48328;37078;12280;244712;83878;116686;5223;9456;29469;262303;67148;119316;4142;30753;40944;124144;10333;6036;49850;27154;30771;443707;8812;26589;125326;94908;50255;86957;50860;408306;137817;486039;62185;591234;97735;109395;5885;342507;43916;139332;47934
"Flagler County, Florida";41274;29721;7013;23297;4993;2749;1026;3675;994;11553;9539;5894;9465;22142;2.70;3.10;111430;41274;23348;27676;11535;7597;1999;45750;11211;24800;730;2083;6926;50888;11753;26029;471;5608;7027;22320;2224;1294;8088;5727;4987;86393;2055;5029;29794;18930;9571;12763;8251;79309;21014;92937;11202;111588;18651;19115;278;57364;6872;35109;11501
"Lee County, Florida";281222;180020;53146;142424;36221;11853;4616;25743;12309;101202;82873;45200;58517;133342;2.65;3.29;744456;281222;142105;197027;72954;51148;19172;313900;96769;158844;4755;13214;40318;331682;81570;158266;5161;38817;47868;144204;7785;8707;58028;34511;35173;569552;23513;35710;176117;115361;52092;104532;62227;510329;166759;621702;60841;750089;101730;132464;4138;404085;40386;213540;57206
"Polk County, Florida";241171;166438;60590;117527;37304;14398;7474;34513;15812;74733;59183;31331;70669;94821;2.88;3.41;695777;241171;117437;206453;77506;53210;19012;280658;101289;133161;5241;10314;30653;297808;90137;126328;8516;33719;39108;155453;9253;10337;70989;35516;29358;491748;24778;48673;171703;104109;45643;63259;33583;418297;96842;550798;49187;699842;110317;156111;7929;401809;51870;141922;50518
"Champaign County, Illinois";84290;42528;17601;32772;12703;2651;1002;7105;3896;41762;32677;8095;19544;18143;2.31;3.09;194673;84290;32819;46536;9445;21583;4504;88365;43679;34901;682;2057;7046;88191;38248;34016;408;6494;9025;76284;3552;2721;16991;8111;44909;121007;1338;5089;26144;24434;10233;26318;27451;114580;53769;170504;9113;208255;20500;39032;994;143763;11259;25460;8247
"Kankakee County, Illinois";40642;26634;12464;19135;7266;2644;1898;4855;3300;14008;11883;4926;12924;12465;2.57;3.14;104494;40642;19311;33843;3939;6759;1843;43527;15975;21469;530;1086;4467;45849;16639;19679;732;4176;4623;28310;2127;1200;10932;6283;7768;72724;3145;5943;25803;17137;6334;8710;5652;63636;14362;84829;6900;108094;15073;25038;298;65512;7905;17544;6870
"Sangamon County, Illinois";83006;50266;21190;35017;12357;3793;1877;11456;6956;32740;26901;10858;23472;24444;2.30;2.91;191304;83006;34971;51959;8950;12418;6719;76409;28084;36018;1357;2400;8550;83583;24996;37001;1187;7637;12762;46421;3044;2395;20000;10759;10223;135994;1893;8440;37616;30591;11564;28316;17574;125661;45890;151987;12602;193444;25812;43110;2312;116214;13568;34120;9932
"Winnebago County, Illinois";114337;74514;30640;52641;17513;6014;3253;15859;9874;39823;33654;13216;34500;34470;2.45;3.00;279789;114337;52347;82694;14315;16096;8664;110648;38911;55740;1527;2515;11955;118462;33470;54831;3147;10729;16285;63549;3367;4681;28285;14156;13060;194348;7073;15196;64557;48543;17385;25389;16205;172079;41594;217752;16524;280910;35873;66135;2348;166885;18278;47890;15247
"Bartholomew County, Indiana";31891;20485;7635;16087;5648;1134;505;3264;1482;11406;9315;4323;8997;9613;2.56;3.23;81705;31891;16332;24452;4919;4111;2052;33567;10945;17845;114;1183;3480;33046;7636;17152;207;3124;4927;19349;1226;1013;8977;4474;3659;56928;1976;2754;17467;10348;5438;11337;7608;52198;18945;63063;3843;81784;12079;19581;964;49204;7335;12999;3780
"Hamilton County, Indiana";122876;93370;47666;78175;39350;5070;2415;10125;5901;29506;24230;9452;50145;29353;2.67;3.08;328594;122876;77526;105314;11693;11185;7568;123189;31888;79270;677;1832;9522;132757;31072;80587;429;9049;11620;91322;6585;4675;40967;22492;16603;216657;1666;4983;34234;33203;15170;76229;51172;210008;127401;240725;15802;328463;25505;89000;2493;198816;11020;40647;11992
"Polk County, Iowa";189546;119472;56759;91110;39011;8710;4858;19652;12890;70074;53184;18050;61840;44714;2.52;3.12;478269;189546;91105;142021;20696;34901;17342;188228;67185;97246;1955;3712;18130;196692;60088;95331;2688;14558;24027;122628;7138;6725;52703;27433;28629;323515;12521;12325;77443;60467;34593;87493;38673;298669;126166;365540;23454;482231;52139;120957;4835;300107;28103;61167;19201
"Wyandotte County, Kansas";60708;38635;17201;25054;10877;3849;1234;9732;5090;22073;18309;5388;19690;15293;2.70;3.44;164002;60708;25132;55411;13604;9147;3866;61820;24068;27197;1550;1658;7347;64054;21404;27592;2376;4765;7917;43924;2773;2982;20826;8583;8760;105224;11474;13287;32455;21801;7704;12517;5986;80463;18503;119109;7941;164119;25442;46057;2599;98116;14360;19946;8483
"Bullitt County, Kentucky";29789;21720;8283;17280;6220;868;386;3572;1677;8069;6300;2607;9821;9000;2.71;3.17;80676;29789;17172;22516;7392;3807;1647;33697;9433;18894;229;944;4197;33878;6861;18807;1029;2942;4239;17387;1260;655;8210;4330;2932;57283;1742;3665;23515;14296;4859;5866;3340;51876;9206;63716;6599;80567;13787;17244;609;50302;8188;13021;4990
"Jefferson County, Kentucky";311263;186545;76073;126534;46325;16894;6264;43117;23484;124718;102027;35159;86299;89158;2.42;3.09;753822;311263;126614;212037;52084;51824;21530;299388;118869;135528;4125;7377;33489;328496;104360;138720;10355;29930;45131;177822;11053;8149;76657;36845;45118;534126;16577;35274;137170;115137;46193;108740;75035;482275;183775;599393;42992;762119;101813;170148;8542;471143;50006;120828;43265
"Madison County, Kentucky";33396;22411;8631;16242;5248;1836;933;4333;2450;10985;8248;3137;9755;8750;2.58;3.04;86280;33396;16532;23919;5317;7116;3144;37440;14303;17808;631;730;3968;39443;12660;18373;755;2624;5031;28067;1572;1362;8431;3492;13210;57601;2306;3922;16472;10388;5917;10433;8163;51373;18596;73794;5500;91497;14690;18481;350;60685;9128;12331;5212
"Bossier Parish, Louisiana";50099;31921;15909;24507;11769;1723;1113;5691;3027;18178;15038;5454;17102;12535;2.50;3.21;125359;50099;24674;39045;6762;4779;2224;48462;15549;26191;371;1363;4988;51966;13805;26214;551;5035;6361;31678;1613;3760;13044;6407;6854;83378;2120;6427;24526;17577;7705;17278;7745;74831;25023;92714;11191;123225;14083;31590;1050;74607;6573;17028;6460
"Iberia Parish, Louisiana";25386;16865;6801;11121;3203;1619;901;4125;2697;8521;7176;3046;8435;7395;2.76;3.35;70146;25386;11041;24087;4475;5157;1643;26448;10600;12200;257;692;2699;29211;12254;11285;700;2475;2497;17773;887;1398;8588;4057;2843;45680;3721;5528;17810;8618;2754;5255;1994;36431;7249;52787;4239;70216;11885;18154;1200;41920;7417;10142;3268
"St. Tammany Parish, Louisiana";93589;67922;27985;49363;18928;4277;1017;14282;8040;25667;22284;10396;30525;31092;2.74;3.23;255984;93589;49539;83636;18525;10695;4088;99244;31577;51763;1214;3596;11094;108061;26719;55492;1943;10409;13498;63998;3538;3861;29270;15292;12037;176669;6383;11069;49076;37614;13110;39793;19624;159217;59417;195003;16352;255246;35771;61888;4317;150280;16099;43078;15355
"Allegany County, Maryland";27190;16619;6467;12307;3816;1233;751;3079;1900;10571;8701;4440;6965;9565;2.29;2.87;62179;27190;12517;16390;2236;3846;1723;32310;12829;13898;596;1052;3935;28423;8094;12702;186;3382;4059;15134;418;792;5612;3071;5241;49508;1006;3090;21323;9968;5043;5458;3620;45412;9078;58707;5236;65038;11503;12222;616;39557;6208;13259;4679
"Calvert County, Maryland";32145;24267;10283;18477;7718;1541;557;4249;2008;7878;6463;2557;11505;9294;2.84;3.23;91441;32145;18506;28752;6964;5074;1247;36916;12509;19359;244;1077;3727;38086;10217;19143;464;2411;5851;23228;1272;804;9951;5926;5275;63613;541;3455;17967;13380;6861;12076;9333;59617;21409;69338;8189;90207;9448;21292;1472;55591;4116;13324;3860
"Harford County, Maryland";94802;67774;26096;54004;19900;4374;1512;9396;4684;27028;22778;10205;29266;29458;2.66;3.16;252367;94802;53905;78185;14289;11186;5880;100679;30941;56567;1934;2722;8515;107239;28616;56230;2254;9246;10893;62856;4918;2810;23995;13963;17170;175780;4141;9700;44220;36596;13971;37288;29864;161939;67152;196721;20265;251759;29156;56155;2312;154221;14117;41383;12727
"Bristol County, Massachusetts";215132;141303;56628;100473;35468;10087;3826;30743;17334;73829;60900;26444;64493;66980;2.55;3.13;549054;215132;100006;162027;38429;33460;15943;224221;83308;109174;3169;6396;22174;244369;75603;109549;5939;23627;29651;133333;7787;6372;52806;28535;37833;395874;27479;28955;126532;70448;34638;69964;37858;339440;107822;447889;26583;558458;82997;115877;6277;350753;42963;91828;33757
"Berrien County, Michigan";64783;42226;14817;29858;8696;3911;1773;8457;4348;22557;18923;8338;17904;21835;2.33;2.86;150823;64783;29849;37660;10861;7670;5026;61189;18850;32661;261;2202;7215;65057;17155;31713;738;6573;8878;35335;2989;1335;15972;7207;7832;107435;3465;7759;28417;26437;9692;20502;11163;96211;31665;120570;9401;153191;23680;33556;2035;89743;11178;29892;10467
"Calhoun County, Michigan";53914;33082;14047;21730;7500;2951;1441;8401;5106;20832;17881;6857;15489;16584;2.42;3.05;130304;53914;21749;39688;6416;8537;4065;52594;18637;22913;1255;1672;8117;56007;17151;23040;902;5202;9712;31841;1941;1341;14436;6489;7634;92230;2119;6030;32301;23026;8566;13498;6690;84081;20188;103773;8873;132862;20744;30577;1903;79078;10380;23207;8461
"Isabella County, Michigan";25367;14589;5812;10431;3559;1692;954;2466;1299;10778;6596;2673;6488;6310;2.53;2.93;64144;25367;10432;14986;2742;10617;2094;29771;15343;11598;138;557;2135;31141;14771;10987;108;2338;2937;25638;645;712;4767;2884;16630;39330;951;2474;13361;8243;3089;6066;5146;35905;11212;58756;2853;70023;9892;11766;601;49420;6260;8837;3031
"Livingston County, Michigan";72676;54151;19563;44736;15335;3628;1595;5787;2633;18525;14701;7114;21250;23132;2.61;3.00;189774;72676;44664;56534;7051;8849;3576;79059;22882;46731;256;1882;7308;79505;18107;46347;158;6399;8494;44241;2579;1537;17866;11868;10391;135180;1320;4592;34602;33363;13505;30370;17428;129268;47798;150378;11093;190031;20303;40750;2282;116558;9692;32723;8329
"Marquette County, Michigan";26328;15842;5858;12303;4084;1377;637;2162;1137;10486;8120;3669;6351;8778;2.40;2.99;63219;26328;12371;16251;2966;5303;1971;27897;10999;13127;188;813;2770;28126;9482;13134;138;2140;3232;18030;1424;800;5690;2593;7523;43809;259;1432;14951;9369;3799;9783;4216;42118;13999;53906;4914;65038;8352;12402;391;40275;4310;12361;3651
"Forrest County, Mississippi";27248;14427;6485;8251;3631;823;343;5353;2511;12821;10259;3141;7357;6986;2.61;3.64;71094;27248;8030;21122;8964;5730;1246;29962;14563;9219;580;1787;3813;31689;13388;8985;1732;2532;5052;23264;1453;1694;6012;4467;9638;45190;1903;5108;9760;10001;3994;8124;6300;38179;14424;57480;5091;74519;18595;17514;2355;46939;10307;10066;5933
"Boone County, Missouri";72217;39505;16158;31688;13062;2582;902;5235;2194;32712;22278;6664;17815;15701;2.37;2.99;171381;72217;31862;42485;4200;20617;3084;70695;31093;32269;397;866;6070;77961;30992;34634;963;4689;6683;63934;4074;1302;16388;7022;35148;107408;1572;3582;20358;22074;7831;27958;24033;102254;51991;143466;8017;178844;19704;36398;857;121280;11561;21166;7286
"Gallatin County, Montana";44423;25853;11509;21265;8801;2158;1210;2430;1498;18570;10912;3005;12091;10260;2.42;2.94;107652;44423;21445;25543;3250;12991;3627;47892;20242;22240;57;728;4625;44936;14025;23270;272;1786;5583;33260;1586;1635;10921;4386;14732;71796;1065;1278;12816;16760;5035;21699;13143;69453;34842;88860;5831;111354;10038;22848;1258;74281;5327;14225;3453
"Bergen County, New Jersey";339953;243393;100872;191396;83833;14515;4528;37482;12511;96560;83751;38637;109033;112484;2.72;3.28;925972;339953;191034;293626;69905;31454;14361;372138;127305;210446;2814;8833;22740;402590;114732;208124;5292;37525;36917;226138;15860;11583;88855;50485;59355;662135;27153;21566;148587;97156;41944;204372;121357;613416;325729;738272;25161;930609;76971;198187;3885;575088;28815;157334;44271
"Monmouth County, New Jersey";236327;163558;64664;133011;51595;9757;3772;20790;9297;72769;61528;29281;70469;79424;2.60;3.18;615338;236327;133019;191216;31523;23253;12543;248427;83384;141413;2007;5924;15699;266956;76001;139153;3865;23443;24494;148010;10635;6240;61446;35438;34251;438071;9301;15645;98234;72703;33669;129895;78624;413125;208519;489150;22196;617530;60935;131700;3673;378758;27558;107072;29704
"Passaic County, New Jersey";169521;125204;53158;83740;35000;11173;4448;30291;13710;44317;36723;15262;60387;53322;2.92;3.42;495094;169521;83069;170058;49319;23127;11691;194611;77335;95257;4410;4415;13194;208740;72029;90059;5712;18007;22933;127936;9209;7942;52647;28400;29738;334793;29474;23066;114434;51673;17094;66740;32312;282253;99052;383066;11398;499879;46274;119722;3738;308924;19854;71233;22682
"Warren County, New Jersey";41742;27171;10635;22210;8338;1845;893;3116;1404;14571;12241;5884;11238;14164;2.49;3.11;103861;41742;22035;31130;4069;4885;2983;43520;14554;23027;712;1451;3776;45878;12880;23151;503;5032;4312;24909;1785;683;9612;6420;6409;76132;2346;2844;25146;13438;7604;16769;7985;70942;24754;84994;5655;105032;12369;20759;477;65546;5375;18727;6517
"Sandoval County, New Mexico";53996;36841;10132;29265;6819;2733;1049;4843;2264;17155;11711;4376;12798;17860;2.67;3.17;144085;53996;29829;40610;9655;9995;5534;57148;15631;30079;153;1324;9961;60755;14316;31407;940;4335;9757;35796;1369;1325;16272;8552;8278;100794;2836;8473;25849;24966;9513;20569;8588;89485;29157;111106;10363;143950;18655;33562;1544;84835;6714;25553;10397
"Schenectady County, New York";55262;31289;11660;24423;8282;1613;526;5253;2852;23973;20599;6963;13331;17716;2.73;3.75;150720;55262;24458;52696;8985;9319;3570;61779;25487;27530;996;1627;6139;66052;22864;27812;1944;6283;7149;36885;1663;1678;15462;8186;9896;105753;3765;6066;29033;18637;13407;18312;16533;95922;34845;121748;8559;153681;20949;33252;1225;94523;11495;25906;8229
"Carteret County, North Carolina";28720;18202;6027;14089;4149;1045;427;3068;1451;10518;9083;4469;6707;12167;2.38;2.89;68400;28720;14028;16599;3804;5249;1930;28522;7876;15272;440;1146;3788;30939;7208;15105;680;3548;4398;12956;895;546;5312;3048;3155;52668;1357;3536;13173;12035;7561;9482;5524;47775;15006;56657;7586;68264;13002;12332;820;38770;5712;17162;6470
"Mecklenburg County, North Carolina";418135;257010;121051;181024;81600;19263;9169;56723;30282;161125;128301;31309;131279;85624;2.58;3.27;1079210;418135;181000;332933;70391;76751;27033;416823;168043;197540;9867;7105;34268;461511;167666;194290;15670;30434;53451;273488;18493;14336;113538;56751;70370;736912;35775;36959;122129;147849;58818;221357;114025;664178;335382;835639;49037;1088671;82619;257546;5984;710540;42832;120585;33803
"Robeson County, North Carolina";46026;30683;12405;18495;6736;3296;1413;8892;4256;15343;13331;4876;14978;14229;2.77;3.47;127710;46026;18494;43823;13618;5749;3198;49945;21702;19967;1999;1914;4363;54583;20402;20205;2106;6386;5484;33301;1805;1983;14269;7235;8009;85742;6891;12606;25687;19718;9062;7912;3866;66245;11778;98935;5309;130173;22101;32682;1665;78198;11976;19293;8460
"Rockingham County, North Carolina";37476;25147;9211;17766;5380;1425;455;5956;3376;12329;10992;5672;11622;13760;2.38;2.92;89339;37476;17559;23421;7422;3461;1577;35739;10937;18699;957;936;4210;39947;9929;18740;2011;4811;4456;19683;712;1243;9146;4734;3848;65384;5389;6998;21300;15034;7567;6554;2542;52997;9096;72221;5336;89628;13915;18369;1277;53207;7469;18052;5169
"Allen County, Ohio";41204;25968;11851;18492;6723;1664;1197;5812;3931;15236;12576;5465;12769;12922;2.40;2.94;98946;41204;18093;28770;3491;7388;3638;42185;15780;19233;657;1359;5156;41487;11288;19178;675;4260;6086;26558;2002;1034;10125;5838;7559;68507;1379;4828;27729;13277;9387;6725;5182;62300;11907;79580;5693;100169;17514;23046;1693;59798;9317;17325;6504
"Erie County, Ohio";31675;19697;6975;14260;3897;1595;828;3842;2250;11978;10224;4879;7703;11402;2.32;2.91;73485;31675;14295;18973;4278;4264;2003;30458;10076;14896;202;1071;4213;32018;7069;15507;236;4190;5016;13968;989;615;5993;3714;2657;53992;1708;3303;17962;12687;6195;7459;4678;48981;12137;59471;5432;73745;10679;15132;583;42988;5038;15625;5058
"Geauga County, Ohio";35387;25274;9326;22287;8478;798;344;2189;504;10113;8139;3880;9991;12859;2.63;3.13;93012;35387;22161;29896;1819;3749;1936;38121;11794;22919;113;967;2328;38914;9028;22315;301;3740;3530;20111;1162;677;9869;4942;3461;64645;4014;1813;15205;14509;3636;15543;9925;58818;25468;72713;4306;93260;9232;21305;915;53101;3870;18854;4447
"Muskingum County, Ohio";34471;22554;8997;15511;4718;2396;1412;4647;2867;11917;10045;4282;9952;11038;2.44;2.94;84148;34471;15529;24970;3214;5964;3188;34132;11101;16966;967;911;4187;35889;8988;16350;1184;3293;6074;19385;916;688;9274;4175;4332;59323;1657;4788;25238;10880;7133;6064;3563;52878;9627;66500;5362;85373;14131;19643;531;51067;7591;14663;6009
"Portage County, Ohio";60801;38898;14297;30196;10746;2231;618;6471;2933;21903;17269;7286;16176;19176;2.56;3.12;155472;60801;29986;43088;9464;12133;4477;66870;23712;31655;474;2403;8626;71966;23768;31968;843;6815;8572;43475;2004;1915;13483;6235;19838;106106;1615;5785;38422;21480;7966;17508;13330;98706;30838;133285;9038;161918;20319;29584;1559;105914;11077;26420;7683
"Trumbull County, Ohio";83303;51155;17711;36408;10180;3522;1576;11225;5955;32148;26697;12411;20029;31009;2.34;2.98;194910;83303;36331;53012;12023;10241;6442;79457;27365;39523;1074;2562;8933;85860;21976;38340;2255;11066;12223;37532;1977;1608;18758;9660;5529;143252;4249;11161;62504;26461;11214;16819;10844;127842;27663;157950;12812;195344;30473;40639;2098;112947;15363;41758;13012
"Wagoner County, Oklahoma";30186;22783;9550;17438;6668;1799;1079;3546;1803;7403;6061;2818;10769;8931;2.65;3.03;79873;30186;17419;24183;4618;3467;1464;31437;8308;18510;149;1108;3362;32477;6596;17943;238;3263;4437;18892;1099;1123;9317;4299;3054;54079;1489;3334;17678;14307;5124;8597;3550;49256;12147;60391;6258;79665;15159;19503;1674;47341;8192;12821;5293
"Linn County, Oregon";48464;33226;12568;25582;8462;2698;1197;4946;2909;15238;12433;6168;14120;17278;2.60;3.04;125827;48464;24915;35919;6821;9708;4350;50883;14083;28721;258;1701;6120;53548;13639;26311;1478;5010;7110;28170;1022;1419;12585;6393;6751;89133;3763;7214;25054;25851;7879;12876;6496;78156;19372;99395;10721;126588;23312;27857;1140;74611;12735;24120;9437
